FehlerKat.;Techn. Platz;Tech.Identnr.;Beschreibung;Verantw.ArbPl.;Meldungsdatum;Meldungszeit;StörBeginn;StörungsBegZt;Störungsende;StörungsEndZt;Meldung;Auftrag;Aktionenbezeichnung;Aktionstext;Codierung Text;Fehlerart Gruppe;Fehlerart Code;Fehlerart Text;Ursache Gruppe;Ursache Code;Ursache Text
C;03-0101-017-01-1;;Muri Mithilfe RBS;A474;16.08.2018;08:47:41;15.08.2018;07:00:00;15.08.2018;17:00:00;2259769;215253;Ausgetauscht;Kabel ersetzt;;6;4;Elektrische Störung;2;2;Technische Störung
C;01-0340-2-001-03;HCP0049;HCP: W0049 HLR getauscht;A474;16.08.2018;11:54:38;16.08.2018;07:00:00;16.08.2018;12:00:00;2259798;215256;Ausgetauscht;HLR getauscht;;5;8;Kurzschluss;2;2;Technische Störung
C;01-0902-2-001-01;W0105;Weiche 105 Guisanplatz;A474;15.08.2018;10:30:39;15.08.2018;10:52:22;;00:00:00;2259642;215251;;;;7;1;Block nicht gelöscht;2;10;unbekannt /sonstiges
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;15.08.2018;08:00:07;15.08.2018;08:02:41;;00:00:00;2259567;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;15.08.2018;08:27:18;15.08.2018;08:40:30;;00:00:00;2259572;214786;;;;7;3;Von Hand gestellt;2;10;unbekannt /sonstiges
C;01-0337-2-001-01;W2005;keine Anmeldung, Block bleibt;A474;15.08.2018;13:40:44;15.08.2018;13:48:55;;00:00:00;2259713;215252;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;13.08.2018;13:14:15;13.08.2018;13:21:37;;00:00:00;2259194;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;13.08.2018;14:15:16;13.08.2018;14:19:32;;00:00:00;2259221;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
X;03-0101-091-04;K9103;Instandh. Trolleybuskreuzung K9103;A474;13.08.2018;13:05:59;;00:00:00;;00:00:00;2259188;215016;Gewartet;Trolleybuskreuzung K9103;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;03-0101-091-04;K9105;Instandh. Trolleybuskreuzung K9105;A474;13.08.2018;13:07:46;;00:00:00;;00:00:00;2259189;215017;Gewartet;Trolleybuskreuzung K9105;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0105;STW0105 Wartung Weichenantrieb W5002;A474;13.08.2018;13:15:20;;00:00:00;;00:00:00;2259197;215229;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0106;STW0106 Wartung Weichenantrieb W5003;A474;13.08.2018;13:15:58;;00:00:00;;00:00:00;2259198;215230;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0107;STW0107 Wartung Weichenantrieb W5004;A474;13.08.2018;13:16:31;;00:00:00;;00:00:00;2259199;215231;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0108;STW0108 Wartung Weichenantrieb W5005;A474;13.08.2018;13:17:04;;00:00:00;;00:00:00;2259200;215232;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0109;STW0109 Wartung Weichenantrieb W5006;A474;13.08.2018;13:18:04;;00:00:00;;00:00:00;2259201;215233;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0110;STW0110 Wartung Weichenantrieb W5007;A474;13.08.2018;13:18:44;;00:00:00;;00:00:00;2259203;215234;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0111;STW0111 Wartung Weichenantrieb W5008;A474;13.08.2018;13:19:16;;00:00:00;;00:00:00;2259204;215235;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0112;STW0112 Wartung Weichenantrieb W5009;A474;13.08.2018;13:19:45;;00:00:00;;00:00:00;2259206;215236;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0113;STW0113 Wartung Weichenantrieb W5010;A474;13.08.2018;13:20:16;;00:00:00;;00:00:00;2259207;215237;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0114;STW0114 Wartung Weichenantrieb W5011;A474;13.08.2018;13:20:47;;00:00:00;;00:00:00;2259208;215238;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;STW0019;STW0019 Wartung Weichenantrieb W5100;A474;13.08.2018;13:13:46;;00:00:00;;00:00:00;2259193;215049;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;STW0131;STW0131 Wartung Weichenantrieb W5101;A474;13.08.2018;13:12:07;;00:00:00;;00:00:00;2259190;214884;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;STW0020;STW0020 Wartung Weichenantrieb W5102;A474;13.08.2018;13:12:38;;00:00:00;;00:00:00;2259191;214885;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0303-2-001-01;STW0132;STW0132 Wartung Weichenantrieb W5105;A474;13.08.2018;13:13:12;;00:00:00;;00:00:00;2259192;214886;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0133;STW0133 Wartung Weichenantrieb W5000;A474;13.08.2018;13:14:22;;00:00:00;;00:00:00;2259195;215227;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9001-2-001-01;STW0134;STW0134 Wartung Weichenantrieb W5001;A474;13.08.2018;13:14:53;;00:00:00;;00:00:00;2259196;215228;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0340-2-001-01;W1010;Musste Weiche 1010 stechen;A474;11.08.2018;08:03:41;13.08.2018;06:41:44;;00:00:00;2258975;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;01-0340-2-001-01;W1010;W1010 gestochen;A474;11.08.2018;10:46:13;13.08.2018;06:42:05;;00:00:00;2258978;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;01-0340-2-001-01;W1010;W 1010 musste gestochen werden;A474;11.08.2018;11:09:06;13.08.2018;06:42:27;;00:00:00;2258979;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;01-0340-2-001-02;W1002;Weiche 1002 fällt auf Gerade;A474;11.08.2018;14:38:54;13.08.2018;06:43:35;13.08.2018;07:30:00;2258989;;Weitere Aktionen;keien Meldung erhalten;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-005-01-1;;Wagenführer meldet Schlag an der Oberl.;A474;10.08.2018;19:55:05;13.08.2018;06:41:07;13.08.2018;07:00:00;2258940;;;keien Meldung erhalten;;6;2;Fahrleitungsschaden;2;5;Höhere Gewalt
C;01-0340-2-001-01;W1010;Weiche 1010 blockiert auf Gerade;A474;10.08.2018;19:23:33;13.08.2018;06:40:13;;00:00:00;2258936;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 gestochen;A474;10.08.2018;12:44:38;10.08.2018;12:51:26;;00:00:00;2258917;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 stechen nötig;A474;10.08.2018;11:31:32;10.08.2018;12:08:29;;00:00:00;2258914;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-005-01-1;;Pantograph schlägt Oberl.;A474;09.08.2018;09:35:47;09.08.2018;10:05:16;;00:00:00;2258806;214851;;;;6;8;sonstiges;2;2;Technische Störung
C;03-0101-005-01-1;;Oberleitung;A474;09.08.2018;11:52:51;09.08.2018;12:20:36;;00:00:00;2258823;214852;;;;6;8;sonstiges;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;09.08.2018;08:03:32;09.08.2018;08:12:42;;00:00:00;2258791;214786;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1014;Weiche 1014 fällt Richtung Bundesgasse;A474;09.08.2018;19:11:22;10.08.2018;06:37:08;10.08.2018;07:00:00;2258861;;;keien Meldung erhalten;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/1;Gleiskreis 8 belegt;A474;09.08.2018;08:03:44;26.07.2018;08:00:00;26.07.2018;16:00:00;2258792;214788;Repariert;Gleiskreis;;5;17;unbekannter Fehler;2;2;Technische Störung
C;01-0339-2-001-01;W0185;W185 gestochen, Block vorbelegt.;A474;08.08.2018;06:59:50;08.08.2018;07:01:06;;00:00:00;2258714;214844;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand umgestellt;A474;08.08.2018;11:14:15;08.08.2018;11:23:28;;00:00:00;2258736;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 von Hand gestellt.;A474;07.08.2018;13:05:59;07.08.2018;13:20:38;;00:00:00;2258647;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 schwarz;A474;07.08.2018;07:29:16;07.08.2018;07:48:54;;00:00:00;2258601;214786;;;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-0901-2-001-01;W3000;Weichenlicht 3000 schwarz;A474;07.08.2018;16:01:01;07.08.2018;16:05:05;;00:00:00;2258675;214845;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0339-2-001-01;W0188;Weiche Kocherpark-HB schwarz. 188;A474;07.08.2018;07:42:34;07.08.2018;07:48:14;07.08.2018;08:00:00;2258603;;;keien Meldung erhalten;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-0303-2-001-01;W0208;Weichensignal dunkel;A474;07.08.2018;16:23:41;07.08.2018;16:28:13;;00:00:00;2258677;214846;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Weiche 185 Block bleibt hängen;A474;06.08.2018;06:01:49;06.08.2018;06:49:53;;00:00:00;2258484;214839;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1009;Weiche 1009 Störung rechte Zunge liegt;A474;06.08.2018;11:04:58;06.08.2018;11:06:47;06.08.2018;12:00:00;2258540;;;Mehrfachmeldung;;7;4;Keine Endlage;2;2;Technische Störung
C;01-0340-2-001-01;W1009;Weiche 1009 schwarz;A474;06.08.2018;11:00:12;06.08.2018;11:05:58;;00:00:00;2258535;214838;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 blockiert auf Geradeaus;A474;06.08.2018;08:01:20;06.08.2018;08:34:42;;00:00:00;2258503;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Musste Weiche 1010 stechen;A474;06.08.2018;11:51:19;06.08.2018;12:05:26;;00:00:00;2258548;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
X;03-0101-091-14;PE9101;Halbjahreswartung Pegelprüfstation;A474;06.08.2018;10:43:48;;00:00:00;;00:00:00;2258515;214834;Gewartet;Pegelprüfstation;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0340-2-001-01;W1010;Weiche 1010 fällt Richtung Wallgasse;A474;05.08.2018;10:55:14;06.08.2018;06:44:18;;00:00:00;2258456;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 Weichenzunge liegt nicht an;A474;05.08.2018;22:54:33;06.08.2018;06:46:36;;00:00:00;2258478;214786;;;;7;4;Keine Endlage;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 blockiert Richtung Wallgasse;A474;05.08.2018;14:07:33;06.08.2018;06:44:43;;00:00:00;2258460;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Weiche 185,Block bleibt hängen.Oberl. av;A474;04.08.2018;06:12:50;06.08.2018;06:43:54;06.08.2018;07:00:00;2258403;;;Mehrfachmeldung;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 reagiert falsch;A474;04.08.2018;00:09:20;06.08.2018;06:43:36;;00:00:00;2258399;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Musste Weiche 1010 von Hand stellen.;A474;03.08.2018;07:33:35;03.08.2018;07:37:49;;00:00:00;2258344;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 stechen;A474;02.08.2018;08:08:34;02.08.2018;10:02:11;;00:00:00;2258261;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 von Hand. Block nicht belegt.;A474;02.08.2018;08:49:38;02.08.2018;10:01:29;;00:00:00;2258271;214786;;;;7;2;Kein Block;2;2;Technische Störung
C;01-0902-2-001-01;W3002;Weiche 3002 deblockiert nicht;A474;02.08.2018;11:49:15;02.08.2018;11:51:23;;00:00:00;2258293;214824;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0339-2-001-01;W0185;W185 Block vorbelegt, musste stechen.;A474;01.08.2018;06:41:27;02.08.2018;06:38:16;02.08.2018;07:00:00;2258215;;;Mehrfachmeldung;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010,musste stechen,Oberl. avis.;A474;01.08.2018;22:39:56;02.08.2018;06:37:49;;00:00:00;2258240;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Weiche Kocherpark 185 Block löscht nicht;A474;31.07.2018;06:16:20;31.07.2018;06:49:27;31.07.2018;07:00:00;2258141;;;Mehrfachmeldung;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;03-0101-005-01-1;;Oberleitung Pestalozzi-Kurve kontr.;A474;30.07.2018;15:47:30;30.07.2018;16:06:09;30.07.2018;17:00:00;2258111;;;Mehrfachmeldung;;6;8;sonstiges;2;2;Technische Störung
C;01-0340-2-001-01;W1004;Weiche 1004 reagiert nicht;A474;29.07.2018;20:31:42;30.07.2018;06:56:23;30.07.2018;07:30:00;2257955;;;keien Meldung erhalten;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 reagiert nicht;A474;28.07.2018;07:18:16;30.07.2018;06:55:34;;00:00:00;2257881;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010,musste stechen s.Notiz;A474;28.07.2018;15:41:54;30.07.2018;06:53:25;;00:00:00;2257906;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;01-0340-2-001-01;W1010;Weiche 1010 nicht gestellt;A474;28.07.2018;08:01:28;30.07.2018;06:53:45;;00:00:00;2257890;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;01-0340-2-001-01;W1010;Weiche 1010 nicht gestellet.;A474;28.07.2018;07:58:03;30.07.2018;06:55:00;;00:00:00;2257888;214786;;;;7;3;Von Hand gestellt;2;900;Doppelmeldung
C;03-0101-091-01-2;;Entgleisung Stomabnehmer;A474;27.07.2018;18:46:12;30.07.2018;06:49:35;30.07.2018;07:00:00;2257872;;;keien Meldung erhalten;;6;8;sonstiges;2;5;Höhere Gewalt
C;01-0339-2-001-01;W0185;Weiche 185 ist der Block hängengeblieben;A474;27.07.2018;08:40:28;27.07.2018;08:41:15;27.07.2018;09:00:00;2257835;;;Mehrfachmeldung;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 v.Hd./reagierte nicht;A474;26.07.2018;07:46:56;26.07.2018;08:01:45;;00:00:00;2257768;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 v.Hd. reagierte nicht;A474;26.07.2018;07:35:06;26.07.2018;07:35:41;;00:00:00;2257765;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 reagiert nicht;A474;24.07.2018;09:45:58;24.07.2018;09:59:59;;00:00:00;2257623;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1010;Weiche 1010 reagiert nicht;A474;24.07.2018;06:06:36;24.07.2018;06:39:05;;00:00:00;2257596;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
B;01-0340-2-001-01;W1010;Weiche 1010 reagiert nicht;A474;24.07.2018;09:17:39;24.07.2018;09:23:48;;00:00:00;2257622;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;01-0340-2-001-01;W1010;W1010 v.Hd./reagierte nicht.;A474;24.07.2018;06:32:06;24.07.2018;06:36:35;;00:00:00;2257601;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1003;Weiche 1003 / 1004 reagiert nicht;A474;24.07.2018;05:48:12;24.07.2018;06:37:41;24.07.2018;07:00:00;2257593;;;keien Meldung erhalten;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0339-2-001-01;W0190;Weiche 190 reagiert nicht;A474;24.07.2018;05:55:58;24.07.2018;06:38:20;24.07.2018;07:00:00;2257594;;;keien Meldung erhalten;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
B;01-0340-2-001-01;W1010;Weiche 1010 stellt nicht von selbst.;A474;23.07.2018;11:11:14;23.07.2018;11:47:10;;00:00:00;2257544;214786;;;;7;3;Von Hand gestellt;2;2;Technische Störung
B;01-0340-2-001-01;W1010;Weiche 1010 funkioniert wieder nicht.;A474;23.07.2018;12:36:11;23.07.2018;12:45:32;;00:00:00;2257551;214786;;;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0340-2-001-01;W1006;W1006 dauernde Blockbelegung;A474;23.07.2018;09:45:09;23.07.2018;10:17:52;;00:00:00;2257538;;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0338-2-001-01;W2000;W2000, musste stechen. Oberl. avis.;A474;21.07.2018;20:04:20;23.07.2018;07:10:54;;00:00:00;2257448;214787;;;;7;3;Von Hand gestellt;2;2;Technische Störung
C;03-0101-091-14;TOR9111;DEig: Torbrücke 10;A474;19.07.2018;06:55:53;17.07.2018;07:00:00;17.07.2018;12:00:00;2257282;214785;Eingestellt;Torbrücke gerichtet;;6;2;Fahrleitungsschaden;2;2;Technische Störung
C;01-0902-2-001-01;HNP3006;W3006: Failsafe;A474;19.07.2018;05:40:03;17.07.2018;12:00:00;18.07.2018;12:00:00;2257274;214783;Programmiert;HNP kontrolliert;;5;15;Ausserhalb Toleranz;2;2;Technische Störung
C;03-0101-017-01;;L8 Saali Eigentrassee Büsche schneiden;A474;18.07.2018;10:40:06;18.07.2018;10:48:26;;00:00:00;2257227;214782;Weitere Aktionen;Äste geschnitten;;6;8;sonstiges;2;10;unbekannt /sonstiges
B;01-0340-2-001-01;W1004;Perron A/B, Weichenlicht schwarz;A474;18.07.2018;14:16:34;18.07.2018;14:35:36;;00:00:00;2257244;214781;Kontrolliert;kein Fehler;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;03-0101-012-05;W1202;Schweizerhofweiche defekt;A474;17.07.2018;05:52:36;16.07.2018;07:00:00;16.07.2018;15:00:00;2257105;214778;Weitere Aktionen;Parameter angepasst;;6;4;Elektrische Störung;2;2;Technische Störung
C;03-0101-011-05;W1107;Entgleisung vor Perron A;A474;17.07.2018;06:13:17;17.07.2018;07:49:36;17.07.2018;10:00:00;2257109;214780;Ersetzt;;;6;1;Entgleisung;2;10;unbekannt /sonstiges
C;01-9000-2-001-01;HNSA502/2;DBo: SB 2 ausgefallen;A474;17.07.2018;05:48:21;01.07.2018;13:30:00;01.07.2018;14:30:00;2257103;214776;Eingestellt;HFP eingelesen;;7;6;Ausserhalb Toleranz;2;2;Technische Störung
C;01-9000-2-001-01;HNSA502/3;DBo: SB 3 ausgefaalen;A474;17.07.2018;05:50:00;13.07.2018;19:00:00;13.07.2018;20:00:00;2257104;214777;Weitere Aktionen;HFK neu eingelesen;;7;6;Ausserhalb Toleranz;2;2;Technische Störung
C;01-0340-2-001-01;W1004;Weiche 1004 funktioniert teilweise nicht;A474;16.07.2018;08:05:45;16.07.2018;08:39:47;16.07.2018;12:00:00;2256976;214779;Weitere Aktionen;HFK neu eingelesen;;7;3;Von Hand gestellt;2;10;unbekannt /sonstiges
X;01-0340-2-001-01;STW0039;STW0039 5-Jahreswartung;A474;16.07.2018;10:07:33;;00:00:00;;00:00:00;2257006;214769;Gewartet;5-Jahreswartung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0051;STW0051 7-Jahreswartung;A474;16.07.2018;10:06:29;;00:00:00;;00:00:00;2257005;214768;Gewartet;7-Jahreswartung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-0340-2-001-01;STW0053;STW0053 7-Jahreswartung;A474;16.07.2018;10:04:50;;00:00:00;;00:00:00;2257004;214767;Gewartet;7-Jahreswartung;;5;16;kein Fehler;2;7;Geplante Instandhaltung
C;01-0339-2-001-01;W0185;bei der Weiche 185 bleibt Block hängen;A474;14.07.2018;06:19:29;14.07.2018;06:46:17;14.07.2018;10:00:00;2256873;214688;Eingestellt;HFP eingelesen;;7;2;Kein Block;2;2;Technische Störung
C;01-0341-2-001-01;EXW0101;Weiche 101,Weichelicht schwarz;A474;14.07.2018;23:44:46;16.07.2018;06:45:34;16.07.2018;12:00:00;2256903;214691;Weitere Aktionen;keine Meldung;;7;2;Kein Block;2;2;Technische Störung
C;03-0101;;Geschwindikeitsreduktion;A474;13.07.2018;17:01:37;13.07.2018;15:30:00;13.07.2018;16:30:00;2256852;214772;Weitere Aktionen;Kontrolle der FL;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;03-0101-001-01;;Oberleitung wegen Hize sehr in Bewegung.;A474;13.07.2018;14:56:59;13.07.2018;15:15:16;;00:00:00;2256834;214772;;;;6;8;sonstiges;2;5;Höhere Gewalt
C;03-0101-024-01;;Ast auf der Fahrleitung;A474;13.07.2018;14:38:11;13.07.2018;14:30:00;13.07.2018;15:30:00;2256833;214773;Weitere Aktionen;Kontrolle der FL;;6;8;sonstiges;2;5;Höhere Gewalt
C;01-0339-2-001-01;W0185;Weiche Kprk-End bleibt Block hängen 185;A474;13.07.2018;12:05:12;11.07.2018;06:30:00;11.07.2018;07:30:00;2256823;214771;Eingestellt;HFP eingelesen;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0339-2-001-01;W0185;W185 Block vorbelegt.;A474;12.07.2018;06:20:20;12.07.2018;07:03:09;12.07.2018;12:00:00;2256663;214771;Eingestellt;HFK neu eingelesen;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Weiche 185 deblockiert nicht;A474;11.07.2018;06:19:57;11.07.2018;06:48:25;11.07.2018;12:00:00;2256584;214771;Geschweisst;GK neu geschweisst;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0902-2-001-01;W3002;Guisanplatz Weichen Nr 3002 Block brennt;A474;11.07.2018;08:00:34;11.07.2018;08:30:13;11.07.2018;09:30:00;2256609;214774;Eingestellt;HFP eingelesen;;7;1;Block nicht gelöscht;2;2;Technische Störung
B;01-0339-2-001-01;W0185;W 185 Blockbelegung löscht nicht;A474;10.07.2018;06:01:09;10.07.2018;07:05:47;14.07.2018;15:00:00;2256509;214771;Eingestellt;HFP eingelesen;;7;1;Block nicht gelöscht;2;2;Technische Störung
D;01-0340-2-001-01;HNP1006;W1006 FailSafe;A474;04.07.2018;15:10:24;04.07.2018;15:23:34;;00:00:00;2256172;214692;;;;6;4;Elektrische Störung;2;2;Technische Störung
C;03-0101-015-01-1;;Hick in Oberleitung seitwärts;A474;03.07.2018;06:26:22;03.07.2018;06:46:15;;00:00:00;2255992;214689;;;;6;8;sonstiges;2;2;Technische Störung
C;01-0339-2-001-01;W0185;Kocherpark;A474;03.07.2018;06:46:18;03.07.2018;06:51:01;;00:00:00;2256004;214688;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0341-2-001-01;EXW0101;Stumpengeleise;A474;03.07.2018;08:15:50;03.07.2018;08:22:10;;00:00:00;2256024;214691;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
D;01-0303-2-001-01;HNP5100;W5101 gestört;A474;03.07.2018;14:36:37;03.07.2018;11:00:00;10.07.2018;12:00:00;2256067;214690;Weitere Aktionen;KV eingebaut;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;03-0101-027-05;W2701;Weiche Spychergasse def;A474;02.07.2018;16:48:22;03.07.2018;06:38:42;;00:00:00;2255972;214687;;;;6;4;Elektrische Störung;2;2;Technische Störung
B;03-0101-011-05;W1102;W1102 bleibt auf rechts;A474;01.07.2018;05:57:05;01.07.2018;06:38:03;01.07.2018;08:00:00;2255822;214775;Kontrolliert;Rücksteller betätigt;;7;7;Unbekannter Fehler;2;2;Technische Störung
C;01-0341-2-001-01;EXW0101;Weiche 101 Casinoplatz Weichenlicht schw;A474;30.06.2018;20:05:49;02.07.2018;06:40:28;15.07.2018;10:00:00;2255817;214770;Eingestellt;HFK neu eingelesen;;7;7;Unbekannter Fehler;2;10;unbekannt /sonstiges
C;01-9000-2-001-01;HNSA502/1;DBo: SB 1 ausgefallen;A474;29.06.2018;07:24:22;27.06.2018;19:00:00;27.06.2018;20:00:00;2255709;214677;Weitere Aktionen;HFP eingelesen;;7;6;Ausserhalb Toleranz;;;
C;03-0101-029-01-2;;Äste zurückschneiden.;A474;27.06.2018;14:27:12;27.06.2018;14:39:56;28.06.2018;15:00:00;2255570;202141;;;;6;3;Fremdeinwirkungen;2;5;Höhere Gewalt
C;01-9001-2-001-01;W5001;W 5001 belegt, löscht nicht;A474;27.06.2018;05:54:31;27.06.2018;06:34:54;28.06.2018;12:00:00;2255524;214658;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
C;01-0902-2-001-01;W3002;Weiche 3002 deblockiert nicht;A474;26.06.2018;06:34:10;26.06.2018;06:38:53;26.06.2018;15:00:00;2255426;214657;;;;7;1;Block nicht gelöscht;2;2;Technische Störung
X;01-9000-2-001-01;STW0081;STW0081 Wartung Weichenantrieb W4006;A474;26.06.2018;08:43:29;;00:00:00;;00:00:00;2255440;214659;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9000-2-001-01;STW0082;STW0082 Wartung Weichenantrieb W4007;A474;26.06.2018;08:44:39;;00:00:00;;00:00:00;2255442;214660;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
X;01-9000-2-001-01;STW0083;STW0083 Wartung Weichenantrieb W4008;A474;26.06.2018;08:47:09;;00:00:00;;00:00:00;2255445;214661;Gewartet;Weichenantrieb;;5;16;kein Fehler;2;7;Geplante Instandhaltung
